,ID,Event_Type,Target,Product,Same_Angle,Inverted,Event_Time,System_Time
0,,SCANNER START,,,,,,1535509384.340
1,,SIGNAL,,,,,,1535509426.122
2,,SIGNAL,,,,,,1535509430.950
3,,SIGNAL,,,,,,1535509430.950
4,,SIGNAL,,,,,,1535509431.821
5,,SIGNAL,,,,,,1535509433.722
6,0,interval,,,,,8.758,1535509426.190
7,0,on,,04_detergent_3.jpg,False,0,0.800,1535509434.977
8,,SIGNAL,,,,,,1535509435.811
9,0,image_interval,,,,,0.400,1535509435.810
10,0,on,00_detergent_2.jpg,,False,0,0.800,1535509436.235
11,,SIGNAL,,,,,,1535509440.246
12,,SIGNAL,,,,,,1535509440.246
13,,SIGNAL,,,,,,1535509441.321
14,,SIGNAL,,,,,,1535509443.221
15,1,interval,,,,,6.182,1535509437.063
16,1,on,SINGLETON,09_chocolate_3.jpg,,0,0.800,1535509443.272
17,,SIGNAL,,,,,,1535509447.541
18,,SIGNAL,,,,,,1535509447.541
19,,SIGNAL,,,,,,1535509448.921
20,2,interval,,,,,6.439,1535509444.100
21,2,on,,01_chocolate_2.jpg,False,0,0.799,1535509450.563
22,,SIGNAL,,,,,,1535509451.391
23,2,image_interval,,,,,0.400,1535509451.390
24,2,on,00_chocolate_1.jpg,,False,0,0.800,1535509451.815
25,,SIGNAL,,,,,,1535509455.712
26,,SIGNAL,,,,,,1535509455.712
27,,SIGNAL,,,,,,1535509456.521
28,,SIGNAL,,,,,,1535509458.421
29,3,interval,,,,,6.064,1535509452.647
30,3,on,SINGLETON,04_detergent_3.jpg,,0,0.800,1535509458.736
31,4,interval,,,,,0.966,1535509459.565
32,4,on,SINGLETON,06_chocolate_3.jpg,,0,0.799,1535509460.556
33,,SIGNAL,,,,,,1535509463.484
34,,SIGNAL,,,,,,1535509463.484
35,,SIGNAL,,,,,,1535509464.121
36,5,interval,,,,,4.099,1535509461.384
37,5,on,,06_detergent_1.jpg,False,0,0.800,1535509465.507
38,,SIGNAL,,,,,,1535509466.345
39,5,image_interval,,,,,0.400,1535509466.344
40,5,on,00_detergent_3.jpg,,False,0,0.800,1535509466.769
41,,SIGNAL,,,,,,1535509472.373
42,,SIGNAL,,,,,,1535509472.373
43,,SIGNAL,,,,,,1535509472.373
44,,SIGNAL,,,,,,1535509473.622
45,,SIGNAL,,,,,,1535509475.522
46,6,interval,,,,,8.774,1535509467.597
47,6,on,SINGLETON,08_chocolate_1.jpg,,0,0.800,1535509476.398
48,,SIGNAL,,,,,,1535509480.212
49,,SIGNAL,,,,,,1535509480.212
50,,SIGNAL,,,,,,1535509481.221
51,7,interval,,,,,4.980,1535509477.230
52,7,on,,02_chocolate_1.jpg,True,0,0.800,1535509482.235
53,,SIGNAL,,,,,,1535509483.121
54,7,image_interval,,,,,0.400,1535509483.062
55,7,on,00_chocolate_1.jpg,,True,0,0.800,1535509483.485
56,,SIGNAL,,,,,,1535509487.258
57,,SIGNAL,,,,,,1535509487.258
58,,SIGNAL,,,,,,1535509488.821
59,8,interval,,,,,4.941,1535509484.315
60,8,on,,03_chocolate_2.jpg,True,1,0.800,1535509489.282
61,,K_PRESS,,,,,,1535509490.111
62,8,image_interval,,,,,0.400,1535509490.110
63,8,on,00_chocolate_2.jpg,,True,0,0.799,1535509490.536
64,9,interval,,,,,0.528,1535509491.363
65,9,on,,08_detergent_3.jpg,False,0,0.800,1535509491.917
