,TARGET,PRODUCT,TARGET_ANGEL,PRODUCT_ANGEL,SAME_ANGEL,PRESENTATION TIME,IMAGE INTERVAL TIME,TRIALS INTERVAL TIME,TARGET_INVERTED,PRODUCT_INVERTED
0,05_chocolate,singleton,2,0,,800,,568.4253673768305,False,
1,02_chocolate,singleton,3,0,,800,,1534.3985996449117,False,
2,06_chocolate,singleton,3,0,,800,,895.6362177775206,False,
3,01_chocolate,singleton,2,0,,800,,3280.7328616796935,False,
4,00_chocolate,04_chocolate,3,1,False,800,400.0,2008.741076934051,False,True
5,09_chocolate,singleton,3,0,,800,,1866.6801386603172,False,
6,00_chocolate,04_chocolate,3,3,True,800,400.0,4999.526862623403,False,False
7,08_chocolate,singleton,3,0,,800,,4045.484250482145,False,
8,00_chocolate,09_chocolate,3,3,True,800,400.0,542.5028549096326,False,False
9,05_chocolate,singleton,2,0,,800,,4448.996696513948,False,
10,08_detergent,singleton,1,0,,800,,725.6606246647725,False,
11,05_detergent,singleton,3,0,,800,,4533.368966667074,False,
12,05_detergent,singleton,3,0,,800,,4099.364959542732,False,
13,00_detergent,02_detergent,2,2,True,800,400.0,2291.8889312234587,False,False
14,08_detergent,singleton,1,0,,800,,3922.590978635879,False,
15,01_detergent,singleton,3,0,,800,,3067.021976295438,False,
16,04_detergent,singleton,1,0,,800,,3408.2244248711886,False,
17,06_detergent,singleton,2,0,,800,,2453.18516145773,False,
18,06_detergent,singleton,1,0,,800,,1153.9914343640608,False,
19,00_detergent,05_detergent,3,1,False,800,400.0,1326.3273246108402,False,False
20,04_chocolate,singleton,1,0,,800,,3124.966491375815,False,
21,00_chocolate,05_chocolate,3,3,True,800,400.0,3864.2434834218784,False,False
22,00_chocolate,08_chocolate,3,3,True,800,400.0,2319.2492726528835,True,False
23,06_chocolate,singleton,1,0,,800,,1066.9452861976251,False,
24,00_chocolate,07_chocolate,1,1,True,800,400.0,2093.643254099421,False,True
25,00_chocolate,01_chocolate,1,1,True,800,400.0,1632.8254609010842,False,False
26,00_chocolate,04_chocolate,1,3,False,800,400.0,811.8233085229595,False,False
27,00_chocolate,03_chocolate,1,2,False,800,400.0,2690.4003995991848,False,False
28,00_chocolate,02_chocolate,3,3,True,800,400.0,4974.826321427957,False,False
29,04_chocolate,singleton,3,0,,800,,2008.741076934051,False,
30,09_detergent,singleton,1,0,,800,,3314.8412848781345,False,
31,07_detergent,singleton,3,0,,800,,903.4589646792235,False,
32,00_detergent,06_detergent,3,2,False,800,400.0,1099.9689072846793,False,False
33,07_detergent,singleton,2,0,,800,,1707.644371541874,False,
34,03_detergent,singleton,3,0,,800,,1456.9024304732302,False,
35,03_detergent,singleton,2,0,,800,,1362.1123341543844,False,
36,00_detergent,02_detergent,3,3,True,800,400.0,4399.9577894708,False,False
37,00_detergent,02_detergent,2,3,False,800,400.0,3961.6552783823086,False,True
38,01_detergent,singleton,3,0,,800,,4104.02463600773,True,
39,00_detergent,03_detergent,2,3,False,800,400.0,3047.9193459319113,False,False
40,04_chocolate,singleton,1,0,,800,,1621.2855884590485,False,
41,09_chocolate,singleton,1,0,,800,,3336.03849978703,False,
42,03_chocolate,singleton,2,0,,800,,3278.65590479639,False,
43,00_chocolate,03_chocolate,2,3,False,800,400.0,3687.55445543225,False,False
44,00_chocolate,01_chocolate,1,1,True,800,400.0,4660.650885651801,False,False
45,00_chocolate,02_chocolate,3,3,True,800,400.0,927.8157197480107,False,False
46,00_chocolate,05_chocolate,3,2,False,800,400.0,2796.354485654723,False,False
47,02_chocolate,singleton,3,0,,800,,3453.432861106996,False,
48,00_chocolate,02_chocolate,3,1,False,800,400.0,3268.8738473491076,False,False
49,02_chocolate,singleton,1,0,,800,,2992.7719126538145,False,
50,01_detergent,singleton,3,0,,800,,1059.5180268561628,False,
51,01_detergent,singleton,3,0,,800,,2497.466651188307,False,
52,00_detergent,04_detergent,2,2,True,800,400.0,4970.049424464993,False,False
53,00_detergent,02_detergent,1,3,False,800,400.0,3197.27496411565,False,False
54,04_detergent,singleton,2,0,,800,,517.4847274503587,False,
55,00_detergent,01_detergent,2,2,True,800,400.0,4683.904692836099,False,False
56,07_detergent,singleton,2,0,,800,,1741.803659950512,False,
57,08_detergent,singleton,2,0,,800,,3658.851016940216,False,
58,05_detergent,singleton,1,0,,800,,1554.649914720227,False,
59,00_detergent,01_detergent,3,1,False,800,400.0,2514.5662814783454,False,False
60,00_chocolate,06_chocolate,2,3,False,800,400.0,619.122962093048,False,False
61,01_chocolate,singleton,1,0,,800,,4660.650885651801,False,
62,09_chocolate,singleton,2,0,,800,,1910.410005310854,False,
63,06_chocolate,singleton,2,0,,800,,3710.8335016689593,True,
64,00_chocolate,09_chocolate,3,1,False,800,400.0,2449.018126524438,False,False
65,02_chocolate,singleton,1,0,,800,,603.8226010252406,False,
66,09_chocolate,singleton,3,0,,800,,3451.157531642221,False,
67,07_chocolate,singleton,3,0,,800,,452.58684202447614,False,
