,TARGET,PRODUCT,TARGET_ANGEL,PRODUCT_ANGEL,SAME_ANGEL,PRESENTATION TIME,IMAGE INTERVAL TIME,TRIALS INTERVAL TIME,TARGET_INVERTED,PRODUCT_INVERTED
0,00_detergent,04_detergent,2,3,False,800,400.0,4757.795584587544,False,False
1,09_chocolate,singleton,3,0,,800,,3182.275531280222,False,
2,00_chocolate,01_chocolate,1,2,False,800,400.0,3438.6277499479525,False,False
3,04_detergent,singleton,3,0,,800,,3064.3582436209977,False,
4,06_chocolate,singleton,3,0,,800,,966.596720684893,False,
5,00_detergent,06_detergent,3,1,False,800,400.0,2099.000689941511,False,False
6,08_chocolate,singleton,1,0,,800,,4775.055760392468,False,
7,00_chocolate,02_chocolate,1,1,True,800,400.0,2980.3582565176666,False,False
8,00_chocolate,03_chocolate,2,2,True,800,400.0,2941.47180845011,False,True
9,00_detergent,08_detergent,2,3,False,800,400.0,528.2126817702123,False,False
10,01_detergent,singleton,2,0,,800,,996.8583888131983,True,
11,09_chocolate,singleton,2,0,,800,,4473.022556572949,False,
12,00_detergent,04_detergent,2,1,False,800,400.0,1565.403347280446,False,False
13,04_detergent,singleton,3,0,,800,,3597.912953578094,True,
14,02_detergent,singleton,1,0,,800,,3398.5330876614307,False,
15,00_chocolate,02_chocolate,3,2,False,800,400.0,415.2811983280253,False,False
16,06_chocolate,singleton,3,0,,800,,4839.449898246971,False,
17,00_chocolate,05_chocolate,2,3,False,800,400.0,1851.539717006193,False,False
18,00_chocolate,09_chocolate,1,2,False,800,400.0,1519.0910057855294,False,True
19,00_detergent,09_detergent,1,1,True,800,400.0,4021.2729819250644,False,False
20,02_detergent,singleton,3,0,,800,,808.6050307341393,False,
21,08_detergent,singleton,3,0,,800,,4603.678499177094,False,
22,00_chocolate,05_chocolate,3,1,False,800,400.0,586.9689046861063,False,False
23,00_chocolate,05_chocolate,2,1,False,800,400.0,1838.960253243743,False,False
24,06_chocolate,singleton,2,0,,800,,4555.111950714882,False,
25,06_detergent,singleton,3,0,,800,,4479.006988424796,False,
26,00_detergent,03_detergent,2,2,True,800,400.0,2203.971106295973,True,False
27,02_chocolate,singleton,1,0,,800,,579.0252322859847,False,
28,09_chocolate,singleton,1,0,,800,,4748.5666373207405,False,
29,00_detergent,07_detergent,1,1,True,800,400.0,794.0829610864193,False,False
30,06_chocolate,singleton,2,0,,800,,994.8679869243779,False,
31,08_detergent,singleton,1,0,,800,,1877.3916085380333,False,
32,08_detergent,singleton,2,0,,800,,4046.299134566437,True,
33,00_chocolate,02_chocolate,1,2,False,800,400.0,1968.5078502841293,False,False
34,00_detergent,05_detergent,1,3,False,800,400.0,2260.5927641996186,True,False
35,00_chocolate,04_chocolate,3,2,False,800,400.0,2920.3446048783585,False,False
36,01_chocolate,singleton,3,0,,800,,2664.667936490045,False,
37,00_detergent,06_detergent,1,2,False,800,400.0,1295.9262836489347,False,False
38,03_detergent,singleton,1,0,,800,,2551.7976573295587,False,
39,00_detergent,02_detergent,1,3,False,800,400.0,1816.6404819926765,False,False
40,07_chocolate,singleton,3,0,,800,,2956.6678758766307,False,
41,00_detergent,05_detergent,3,3,True,800,400.0,4194.691483457913,True,False
42,03_chocolate,singleton,2,0,,800,,3881.147522852007,False,
43,00_detergent,02_detergent,1,2,False,800,400.0,2733.538120354105,False,False
44,02_detergent,singleton,1,0,,800,,1816.6404819926765,False,
45,00_chocolate,07_chocolate,3,2,False,800,400.0,4033.661305504643,False,False
46,00_chocolate,05_chocolate,1,3,False,800,400.0,1359.7963519860423,False,False
47,02_chocolate,singleton,1,0,,800,,2594.2965856466053,False,
48,00_detergent,03_detergent,1,2,False,800,400.0,2551.7976573295587,False,False
49,00_detergent,03_detergent,1,1,True,800,400.0,2400.961513460001,True,False
50,01_chocolate,singleton,1,0,,800,,2584.9473811876796,False,
51,08_chocolate,singleton,2,0,,800,,4254.422002466514,False,
52,01_chocolate,singleton,2,0,,800,,4277.476742315193,False,
53,06_chocolate,singleton,3,0,,800,,2984.8041747715624,False,
54,00_chocolate,04_chocolate,3,1,False,800,400.0,1385.466998580006,False,False
55,08_detergent,singleton,3,0,,800,,1006.4342135141441,True,
56,05_detergent,singleton,1,0,,800,,4304.886171859502,True,
57,00_chocolate,06_chocolate,1,1,True,800,400.0,3923.4505423069504,False,False
58,00_detergent,04_detergent,2,2,True,800,400.0,1733.8359664781187,False,False
59,00_detergent,05_detergent,1,3,False,800,400.0,1280.4247511148471,False,False
60,03_chocolate,singleton,3,0,,800,,3846.6019246766923,False,
61,00_chocolate,02_chocolate,2,3,False,800,400.0,4547.952454164558,False,False
62,00_detergent,05_detergent,1,1,True,800,400.0,4210.445449614661,False,False
63,00_chocolate,06_chocolate,2,1,False,800,400.0,4428.0748710492335,False,False
64,07_detergent,singleton,3,0,,800,,1949.1116066816262,False,
65,00_chocolate,08_chocolate,3,1,False,800,400.0,753.1109676669843,False,False
66,09_detergent,singleton,1,0,,800,,4021.2729819250644,False,
67,00_detergent,09_detergent,3,3,True,800,400.0,583.7288650794242,False,False
68,00_detergent,06_detergent,1,3,False,800,400.0,2880.2782643765777,True,False
69,00_chocolate,07_chocolate,2,2,True,800,400.0,4085.1288517116345,False,False
70,00_detergent,09_detergent,3,3,True,800,400.0,4705.980916981505,False,False
71,00_chocolate,09_chocolate,1,1,True,800,400.0,3367.438360889221,False,False
72,09_chocolate,singleton,1,0,,800,,1519.0910057855294,False,
73,00_chocolate,07_chocolate,3,3,True,800,400.0,2708.4966721661767,False,False
74,07_detergent,singleton,3,0,,800,,3973.9970319055506,False,
75,07_chocolate,singleton,2,0,,800,,2820.2362283827288,False,
76,00_detergent,05_detergent,1,3,False,800,400.0,3295.1458819147065,False,False
77,07_detergent,singleton,2,0,,800,,4289.889387661484,False,
78,00_detergent,08_detergent,3,3,True,800,400.0,4507.311699699503,False,False
79,02_detergent,singleton,3,0,,800,,2476.836974301703,False,
80,00_chocolate,01_chocolate,1,1,True,800,400.0,1342.7759432729558,False,False
81,09_chocolate,singleton,3,0,,800,,3543.6834702341794,False,
82,00_chocolate,02_chocolate,2,1,False,800,400.0,4213.6245924613395,False,False
83,08_chocolate,singleton,1,0,,800,,4789.430705284483,False,
84,09_detergent,singleton,3,0,,800,,4705.980916981505,False,
85,01_detergent,singleton,1,0,,800,,970.8606046293169,True,
86,06_detergent,singleton,2,0,,800,,3739.69324554949,False,
87,06_detergent,singleton,1,0,,800,,1991.90295064143,False,
88,07_detergent,singleton,2,0,,800,,3089.296630363148,True,
89,01_detergent,singleton,2,0,,800,,1311.3293979072346,True,
90,08_detergent,singleton,2,0,,800,,528.2126817702123,False,
91,05_chocolate,singleton,2,0,,800,,1838.960253243743,False,
92,03_chocolate,singleton,3,0,,800,,3900.5224849687443,False,
93,00_chocolate,06_chocolate,1,2,False,800,400.0,2471.784827605235,True,False
94,00_detergent,01_detergent,3,1,False,800,400.0,4833.888808609918,False,True
95,07_detergent,singleton,3,0,,800,,2098.292119234454,False,
