,TARGET,PRODUCT,TARGET_ANGEL,PRODUCT_ANGEL,SAME_ANGEL,PRESENTATION TIME,IMAGE INTERVAL TIME,TRIALS INTERVAL TIME,TARGET_INVERTED,PRODUCT_INVERTED
0,08_chocolate,singleton,2,0,,800,,4242.328927132947,False,
1,01_detergent,singleton,3,0,,800,,3665.9863100274983,False,
2,03_chocolate,singleton,3,0,,800,,1999.4316310507204,False,
3,00_chocolate,09_chocolate,2,3,False,800,400.0,4383.778130876284,False,False
4,07_detergent,singleton,1,0,,800,,4289.1116342746855,True,
5,00_detergent,03_detergent,2,2,True,800,400.0,2769.433396046362,False,False
6,04_chocolate,singleton,1,0,,800,,4521.032923203542,False,
7,07_chocolate,singleton,3,0,,800,,4772.3263640175055,True,
8,06_chocolate,singleton,1,0,,800,,1471.9237179997385,False,
9,00_detergent,02_detergent,2,3,False,800,400.0,4988.821947731213,False,True
10,01_detergent,singleton,1,0,,800,,2142.5635107557523,False,
11,06_detergent,singleton,1,0,,800,,3159.59925230082,False,
12,02_detergent,singleton,1,0,,800,,576.3252948815108,False,
13,00_chocolate,04_chocolate,2,2,True,800,400.0,2932.1507406509,True,False
14,00_chocolate,01_chocolate,2,1,False,800,400.0,3944.5260129561852,False,False
15,00_chocolate,08_chocolate,1,2,False,800,400.0,2973.6497469589194,False,False
16,04_chocolate,singleton,2,0,,800,,1203.6454888786961,False,
17,00_detergent,06_detergent,2,1,False,800,400.0,1092.2411266467775,False,False
18,01_chocolate,singleton,3,0,,800,,2285.8871257698543,False,
19,00_chocolate,05_chocolate,3,1,False,800,400.0,638.1436776218011,False,True
20,00_detergent,04_detergent,1,3,False,800,400.0,2330.631979455373,False,False
21,00_chocolate,07_chocolate,1,3,False,800,400.0,3820.2125005083003,False,False
22,00_detergent,03_detergent,2,2,True,800,400.0,3846.3164369019187,False,False
23,00_detergent,09_detergent,2,3,False,800,400.0,1343.5489248552626,False,False
24,00_detergent,01_detergent,2,3,False,800,400.0,2112.41793068984,False,False
25,00_detergent,01_detergent,3,3,True,800,400.0,3665.9863100274983,False,False
26,09_chocolate,singleton,2,0,,800,,4976.338228186418,False,
27,00_chocolate,05_chocolate,2,2,True,800,400.0,1048.8787464945353,False,False
28,00_detergent,01_detergent,2,1,False,800,400.0,4951.5259921544,False,False
29,00_detergent,08_detergent,1,1,True,800,400.0,2198.2195513676797,True,False
30,00_chocolate,04_chocolate,2,1,False,800,400.0,4094.7680909097353,False,False
31,00_detergent,09_detergent,2,3,False,800,400.0,2555.775274315085,False,True
32,05_chocolate,singleton,1,0,,800,,1317.9274365693282,True,
33,03_detergent,singleton,2,0,,800,,1353.834059301918,False,
34,02_detergent,singleton,1,0,,800,,3695.834074307242,False,
35,00_detergent,04_detergent,1,3,False,800,400.0,2018.3524389905062,False,False
36,00_chocolate,03_chocolate,2,2,True,800,400.0,4686.009272002264,False,False
37,00_chocolate,05_chocolate,2,1,False,800,400.0,4182.921590458868,False,False
38,00_chocolate,01_chocolate,1,1,True,800,400.0,3474.0925450123773,False,False
39,00_detergent,06_detergent,3,1,False,800,400.0,1392.3098875474807,False,False
40,00_detergent,04_detergent,3,1,False,800,400.0,4787.667843458071,True,False
41,00_detergent,02_detergent,2,1,False,800,400.0,1247.3117628374916,False,False
42,06_chocolate,singleton,3,0,,800,,4257.057500492167,False,
43,00_chocolate,05_chocolate,2,1,False,800,400.0,4868.154956511919,True,False
44,08_chocolate,singleton,2,0,,800,,548.1717095317869,False,
45,00_chocolate,06_chocolate,1,1,True,800,400.0,3899.2227896555505,False,False
46,00_detergent,05_detergent,3,2,False,800,400.0,4465.261791878373,False,False
47,00_chocolate,06_chocolate,3,3,True,800,400.0,2743.6352652193887,True,False
48,00_detergent,08_detergent,2,2,True,800,400.0,1243.8223403416816,False,False
49,00_detergent,01_detergent,1,1,True,800,400.0,4208.05880065455,False,False
50,00_detergent,05_detergent,3,3,True,800,400.0,4850.955245129918,False,False
51,02_detergent,singleton,2,0,,800,,543.1889127168868,False,
52,07_detergent,singleton,3,0,,800,,3686.6611412463317,False,
53,00_detergent,09_detergent,3,1,False,800,400.0,4810.128276240377,True,False
54,02_detergent,singleton,2,0,,800,,3016.964652484795,False,
55,00_detergent,06_detergent,1,2,False,800,400.0,1768.0951744223653,False,False
56,06_chocolate,singleton,3,0,,800,,1400.6988722843555,False,
57,03_detergent,singleton,3,0,,800,,963.6431696879779,False,
58,00_chocolate,04_chocolate,2,3,False,800,400.0,3543.60833042003,False,False
59,00_detergent,09_detergent,3,3,True,800,400.0,4109.417064582903,False,False
60,00_chocolate,02_chocolate,3,3,True,800,400.0,4121.167829350894,True,False
61,00_chocolate,08_chocolate,1,1,True,800,400.0,564.2586294644286,False,False
62,00_detergent,01_detergent,3,3,True,800,400.0,2089.1976574716123,False,False
63,03_detergent,singleton,1,0,,800,,3734.358231374012,False,
64,00_detergent,05_detergent,3,1,False,800,400.0,1850.5093305252012,True,False
65,07_detergent,singleton,3,0,,800,,1157.2568444084768,False,
